address,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,days_on_zillow,property_url,zip,$/sqft,compare_$sqft_sold_inZip,household_median_income_on_threshold,median_age,median_house_value,poverty_rate,unemployment_rate,Target
"68 Putnam St, Weymouth, MA 02189",499900,2,5,2181.0 ,542700,3740,30,https://www.zillow.com/homedetails/68-Putnam-St-Weymouth-MA-02189/56625558_zpid/,02189,229,-0.4398,8.80,41.3,0.3644,0.071,0.055,1
"8 Ayer Rd, Shirley, MA 01464",289900,3,3,1200.0 ,304700,3425,5,https://www.zillow.com/homedetails/8-Ayer-Rd-Shirley-MA-01464/57107564_zpid/,01464,242,1.0000,9.82,47.2,-0.0773,0.018,0.062,1
"17 Bowes Ave, Quincy, MA 02169",529900,2,4,1440.0 ,546500,2981,12,https://www.zillow.com/homedetails/17-Bowes-Ave-Quincy-MA-02169/56584866_zpid/,02169,368,0.0096,3.62,38.6,0.3277,0.095,0.056,1
"30 Dane St, Peabody, MA 01960",599999,2,4,1999.0 ,640900,3058,4,https://www.zillow.com/homedetails/30-Dane-St-Peabody-MA-01960/56112145_zpid/,01960,300,-0.1249,4.70,45.9,0.5480,0.067,0.039,1
"12 Whitney Dr, Peabody, MA 01960",650000,2,5,1760.0 ,694500,3200,3,https://www.zillow.com/homedetails/12-Whitney-Dr-Peabody-MA-01960/56112958_zpid/,01960,369,0.0858,4.70,45.9,0.6770,0.067,0.039,0
"2 Mill St, Peabody, MA 01960",549900,2,8,1600.0 ,586600,3058,64,https://www.zillow.com/homedetails/2-Mill-St-Peabody-MA-01960/56111763_zpid/,01960,344,0.0176,4.70,45.9,0.4187,0.067,0.039,1
"38 Columbia Blvd, Peabody, MA 01960",489000,2,3,1290.0 ,539000,2504,4,https://www.zillow.com/homedetails/38-Columbia-Blvd-Peabody-MA-01960/56114770_zpid/,01960,379,0.1093,4.70,45.9,0.2616,0.067,0.039,0
"274 Palmer St, Quincy, MA 02169",560000,2,3,1302.0 ,600600,2900,5,https://www.zillow.com/homedetails/274-Palmer-St-Quincy-MA-02169/56584845_zpid/,02169,430,0.1526,3.62,38.6,0.4032,0.095,0.056,1
"83 Lincoln St, Winthrop, MA 02152",619900,3,3,2022.0 ,635700,3300,32,https://www.zillow.com/homedetails/83-Lincoln-St-Winthrop-MA-02152/56686817_zpid/,02152,307,-0.1400,5.81,44.9,0.4095,0.054,0.036,1
"653 Marston Rd, Whitinsville, MA 01588",509900,3,4,1888.0 ,546900,2792,19,https://www.zillow.com/homedetails/653-Marston-Rd-Whitinsville-MA-01588/71009871_zpid/,01588,270,1.0000,8.93,38.1,0.7898,0.048,0.047,1
"22 Curtis Cir, Weymouth, MA 02189",655000,3,4,2196.0 ,684100,3733,19,https://www.zillow.com/homedetails/22-Curtis-Cir-Weymouth-MA-02189/56625871_zpid/,02189,298,-0.1064,8.80,41.3,0.7877,0.071,0.055,1
"362 Granite St, Quincy, MA 02169",412000,2,3,1236.0 ,418800,2699,27,https://www.zillow.com/homedetails/362-Granite-St-Quincy-MA-02169/56591967_zpid/,02169,333,-0.0934,3.62,38.6,0.0323,0.095,0.056,1
"279 Revere St, Winthrop, MA 02152",475000,2,3,988.0 ,491900,2749,6,https://www.zillow.com/homedetails/279-Revere-St-Winthrop-MA-02152/56688303_zpid/,02152,481,0.2730,5.81,44.9,0.0800,0.054,0.036,0
"84 Leominster Rd, Shirley, MA 01464",519900,2,4,1908.0 ,554900,2999,21,https://www.zillow.com/homedetails/84-Leominster-Rd-Shirley-MA-01464/57107252_zpid/,01464,272,1.0000,9.82,47.2,0.6547,0.018,0.062,1
"50 Winthrop St, Quincy, MA 02169",539000,2,3,1200.0 ,560800,2728,4,https://www.zillow.com/homedetails/50-Winthrop-St-Quincy-MA-02169/56584285_zpid/,02169,449,0.1886,3.62,38.6,0.3505,0.095,0.056,0
"1062 Sea St, Quincy, MA 02169",589000,2,3,1144.0 ,,2728,27,https://www.zillow.com/homedetails/1062-Sea-St-Quincy-MA-02169/56584189_zpid/,02169,515,0.2921,3.62,38.6,0.4758,0.095,0.056,1
"45 Stephen Dr, Brockton, MA 02302",439000,2,4,2000.0 ,433800,2572,31,https://www.zillow.com/homedetails/45-Stephen-Dr-Brockton-MA-02302/57528267_zpid/,02302,220,1.0000,0.27,37.3,0.7421,0.081,0.081,1
"32-34 Baxter St, Quincy, MA 02169",685000,2,4,2006.0 ,696100,,7,https://www.zillow.com/homedetails/32-34-Baxter-St-Quincy-MA-02169/2069206144_zpid/,02169,341,-0.0673,3.62,38.6,0.7164,0.095,0.056,0
